name,description,type,level,sort,lessonNum,hoursForLearn,usedNum,recommendNum,lesson,subLesson,sort,useModule,useCollection,dataExtractCondition
"","","","","","","","","","Bài 11","Từ vựng","101","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson11,'}}"
"","","","","","","","","","Bài 11","Luyện tập","102","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson11,'}}"
"","","","","","","","","","Bài 12","Từ vựng","103","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson12,'}}"
"","","","","","","","","","Bài 12","Luyện tập","104","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson12,'}}"
"","","","","","","","","","Bài 13","Từ vựng","105","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson13,'}}"
"","","","","","","","","","Bài 13","Luyện tập","106","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson13,'}}"
"","","","","","","","","","Bài 14","Từ vựng","107","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson14,'}}"
"","","","","","","","","","Bài 14","Luyện tập","108","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson14,'}}"
"","","","","","","","","","Bài 15","Từ vựng","109","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson15,'}}"
"","","","","","","","","","Bài 15","Luyện tập","110","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson15,'}}"
"","","","","","","","","","Bài 16","Từ vựng","111","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson16,'}}"
"","","","","","","","","","Bài 16","Luyện tập","112","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson16,'}}"
"","","","","","","","","","Bài 17","Từ vựng","113","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson17,'}}"
"","","","","","","","","","Bài 17","Luyện tập","114","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson17,'}}"
"","","","","","","","","","Bài 18","Từ vựng","115","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson18,'}}"
"","","","","","","","","","Bài 18","Luyện tập","116","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson18,'}}"
"","","","","","","","","","Bài 19","Từ vựng","117","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson19,'}}"
"","","","","","","","","","Bài 19","Luyện tập","118","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson19,'}}"
"","","","","","","","","","Bài 20","Từ vựng","119","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson20,'}}"
"","","","","","","","","","Bài 20","Luyện tập","120","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson20,'}}"
"","","","","","","","","","Bài 21","Từ vựng","121","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson21,'}}"
"","","","","","","","","","Bài 21","Luyện tập","122","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson21,'}}"
"","","","","","","","","","Bài 22","Từ vựng","123","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson22,'}}"
"","","","","","","","","","Bài 22","Luyện tập","124","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson22,'}}"
"","","","","","","","","","Bài 23","Từ vựng","125","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson23,'}}"
"","","","","","","","","","Bài 23","Luyện tập","126","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson23,'}}"
"","","","","","","","","","Bài 24","Từ vựng","127","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson24,'}}"
"","","","","","","","","","Bài 24","Luyện tập","128","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson24,'}}"
"","","","","","","","","","Bài 25","Từ vựng","129","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson25,'}}"
"","","","","","","","","","Bài 25","Luyện tập","130","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson25,'}}"
"","","","","","","","","","Bài 26","Từ vựng","131","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson26,'}}"
"","","","","","","","","","Bài 26","Luyện tập","132","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson26,'}}"
"","","","","","","","","","Bài 27","Từ vựng","133","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson27,'}}"
"","","","","","","","","","Bài 27","Luyện tập","134","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson27,'}}"
"","","","","","","","","","Bài 28","Từ vựng","135","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson28,'}}"
"","","","","","","","","","Bài 28","Luyện tập","136","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson28,'}}"
"","","","","","","","","","Bài 29","Từ vựng","137","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson29,'}}"
"","","","","","","","","","Bài 29","Luyện tập","138","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson29,'}}"
"","","","","","","","","","Bài 30","Từ vựng","139","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson30,'}}"
"","","","","","","","","","Bài 30","Luyện tập","140","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson30,'}}"
"","","","","","","","","","Bài 31","Từ vựng","141","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson31,'}}"
"","","","","","","","","","Bài 31","Luyện tập","142","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson31,'}}"
"","","","","","","","","","Bài 32","Từ vựng","143","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson32,'}}"
"","","","","","","","","","Bài 32","Luyện tập","144","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson32,'}}"
"","","","","","","","","","Bài 33","Từ vựng","145","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson33,'}}"
"","","","","","","","","","Bài 33","Luyện tập","146","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson33,'}}"
"","","","","","","","","","Bài 34","Từ vựng","147","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson34,'}}"
"","","","","","","","","","Bài 34","Luyện tập","148","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson34,'}}"
"","","","","","","","","","Bài 35","Từ vựng","149","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson35,'}}"
